DID	"Asus ROG Strix Intel Core i5-9300H 15.6"" 8GB/512GB Gaming Laptop - Black | G531GUAL-PKH"	€369.99
DID	"Asus ROG Strix Scar II Intel Core i7-8750H 17.3"" 16GB/256GB Gaming Laptop - Black | GL704GM-EV00"	€289.99
DID	"Microsoft Intel Core i5 13.5"" 8GB/128GB Surface Laptop - Platinum | VGY-00003"	€299.99
DID	"Asus VivoBook S15 Intel Core i5 8265U 15.6"" 8GB/256GB Laptop - Red & Grey | S530FA-EJ101T"	€619.99
DID	"Apple MacBook Air Intel Core i5 13.3"" 128GB 8GB RAM Laptop - Space Grey | MVFH2B/A"	€999.99
DID	"Apple MacBook Air Intel Core i5 13.3"" 256GB RAM Laptop - Silver | MVFL2B/A"	€1,099.99
DID	"Apple Macbook Pro Intel Core i5 13"" 8GB/128GB Laptop - Silver | MUHQ2B/A"	€1,199.99
DID	"Apple MacBook Air Intel Core i5 13.3"" 128GB 8GB RAM Laptop - Silver | MVFK2B/A"	€1,499.99
DID	"Apple MacBook Air Intel Core i5 13.3"" 256GB RAM Laptop - Gold | MVFN2B/A"	€1,999.99
DID	"Clearance/Ex-Display HP Intel Core i3 6006U 14"" 4GB/128GB Laptop - White | 14-BS032NA"	€1,169.99
DID	"Apple Macbook Pro Intel Core i5 13"" 8GB/256GB Laptop - Sliver | MUHR2B/A"	€649.99
DID	"Apple MacBook Air Intel Core i5 13.3"" 128GB RAM Laptop - Gold | MVFM2B/A"	€1,279.99
DID	"Apple Macbook Pro Intel Core i5 13"" 8GB/128GB Laptop - Space Grey | MUHN2B/A"	€1,529.99
DID	"Clearance/Ex-Display Lenovo V145 AMD A9-9425 Dual-Core 15.6"" 8GB/256GB Laptop - Black | 81MT0015UK"	€1,549.99
DID	"Apple MacBook Air Intel Core i5 13.3"" 256GB RAM Laptop - Space Grey | MVFJ2B/A"	€1,279.99
DID	"Apple Macbook Pro Intel Core i5 13"" 8GB/256GB Laptop - Space Grey | MUHP2B/A"	€1,529.99
DID	"Clearance/Ex-Display Asus VivoBook Intel Celeron N3000 14"" 4GB/64GB Laptop - Star Grey | E406SA-BV227T"	€399.99
DID	"Apple MacBook Air Intel Core i5 13"" 8GB/256GB Laptop - Space Grey | MRE92B/A"	€180.00
DID	"Apple MacBook Pro Intel Core i5 13"" 8GB/256GB Laptop with Touch Bar - Silver | MV992B/A"	€1,799.99
DID	"Lenovo Legion Intel Core i5-8300H 15.6"" 8GB/1TB Gaming Laptop - Black | 81FV00H7UK"	€1,279.99
DID	"Microsoft Surface Go Intel Pentium 4415Y 10"" 4GB/64GB Laptop - Silver | MHN-00002"	€1,359.99
DID	"Apple Macbook Pro Intel Core i5 13"" 8GB/256GB Laptop - Silver | MPXX2B/A"	€489.99
DID	"Apple MacBook Air Intel Core i5 13"" 8GB/256GB Laptop - Silver | MREC2B/A"	€10.00
DID	"Microsoft Surface Intel Core i5 13.5"" 8GB/256GB Laptop - Platinum | DAG-00009"	€1,529.99
DID	"Apple MacBook Air Intel Core i5 13"" 8GB/128GB Laptop - Space Grey | MRE82B/A"	€1,799.99
DID	"Apple MacBook Pro Intel Core i5 13"" 8GB/512GB Laptop with Touch Bar - Silver | MV9A2B/A"	€279.99
DID	"Microsoft Surface Intel Core i7 13.5"" 16GB/512GB Laptop - Platinum | LQS-00003"	€20.00
DID	"Apple MacBook Pro Intel Core i9 15"" 16GB/512GB Laptop with Touch Bar - Silver | MV932B/A"	€1,629.99
Curries	Samsung Galaxy S20 128GB Grey | SM-G980FZADEU	€929.99
Curries	Samsung Galaxy S20 (5G) 128GB Grey | SM-G981BZADEU	€1,029.99
Curries	Samsung Galaxy S20 Plus (5G) 128GB Grey | SM-G986BZADEU	€1,129.99
Curries	Samsung Galaxy S20 Plus (5G) 128GB Black | SM-G986BZKDEU	€1,129.99
Curries	Samsung Galaxy S20 Ultra (5G) 128GB Grey | SM-G988BZADEU	€1,379.99
Curries	Samsung Galaxy S20 Ultra (5G) 128GB Black | SM-G988BZKDEU	€1,379.99
